,sl,index,sentence,promptsForPython,promptsForJulius
154,155,sx155,The water contained too much chlorine and stung his eyes.,THE WATER CONTAINED TOO MUCH CHLORINE AND STUNG HIS EYES,*/sample155 THE WATER CONTAINED TOO MUCH CHLORINE AND STUNG HIS EYES
155,156,sx156,Our experiment's positive outcome was unexpected.,OUR EXPERIMENT'S POSITIVE OUTCOME WAS UNEXPECTED,*/sample156 OUR EXPERIMENT'S POSITIVE OUTCOME WAS UNEXPECTED
156,157,sx157,Remove the splinter with a pair of tweezers.,REMOVE THE SPLINTER WITH A PAIR OF TWEEZERS,*/sample157 REMOVE THE SPLINTER WITH A PAIR OF TWEEZERS
157,158,sx158,The drunkard is a social outcast.,THE DRUNKARD IS A SOCIAL OUTCAST,*/sample158 THE DRUNKARD IS A SOCIAL OUTCAST
158,159,sx159,The government sought authorization of his citizenship.,THE GOVERNMENT SOUGHT AUTHORIZATION OF HIS CITIZENSHIP,*/sample159 THE GOVERNMENT SOUGHT AUTHORIZATION OF HIS CITIZENSHIP
159,160,sx160,"As coauthors, we presented our new book to the haughty audience.",AS COAUTHORS WE PRESENTED OUR NEW BOOK TO THE HAUGHTY AUDIENCE,*/sample160 AS COAUTHORS WE PRESENTED OUR NEW BOOK TO THE HAUGHTY AUDIENCE
160,161,sx161,"As a precaution, the outlaws bought gunpowder for their stronghold.",AS A PRECAUTION THE OUTLAWS BOUGHT GUNPOWDER FOR THEIR STRONGHOLD,*/sample161 AS A PRECAUTION THE OUTLAWS BOUGHT GUNPOWDER FOR THEIR STRONGHOLD
161,162,sx162,Her auburn hair reminded him of autumn leaves.,HER AUBURN HAIR REMINDED HIM OF AUTUMN LEAVES,*/sample162 HER AUBURN HAIR REMINDED HIM OF AUTUMN LEAVES
162,163,sx163,They remained lifelong friends and companions.,THEY REMAINED LIFELONG FRIENDS AND COMPANIONS,*/sample163 THEY REMAINED LIFELONG FRIENDS AND COMPANIONS
163,164,sx164,Curiosity and mediocrity seldom coexist.,CURIOSITY AND MEDIOCRITY SELDOM COEXIST,*/sample164 CURIOSITY AND MEDIOCRITY SELDOM COEXIST
164,165,sx165,The easygoing zoologist relaxed throughout the voyage.,THE EASYGOING ZOOLOGIST RELAXED THROUGHOUT THE VOYAGE,*/sample165 THE EASYGOING ZOOLOGIST RELAXED THROUGHOUT THE VOYAGE
165,166,sx166,Biologists use radioactive isotopes to study microorganisms.,BIOLOGISTS USE RADIOACTIVE ISOTOPES TO STUDY MICROORGANISMS,*/sample166 BIOLOGISTS USE RADIOACTIVE ISOTOPES TO STUDY MICROORGANISMS
166,167,sx167,Employee layoffs coincided with the company's reorganization.,EMPLOYEE LAYOFFS COINCIDED WITH THE COMPANY'S REORGANIZATION,*/sample167 EMPLOYEE LAYOFFS COINCIDED WITH THE COMPANY'S REORGANIZATION
167,168,sx168,Who took the kayak down the bayou?,WHO TOOK THE KAYAK DOWN THE BAYOU,*/sample168 WHO TOOK THE KAYAK DOWN THE BAYOU
168,169,sx169,How would you evaluate this algebraic expression?,HOW WOULD YOU EVALUATE THIS ALGEBRAIC EXPRESSION,*/sample169 HOW WOULD YOU EVALUATE THIS ALGEBRAIC EXPRESSION
169,170,sx170,The Mayan neoclassic scholar disappeared while surveying ancient ruins.,THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS,*/sample170 THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS
170,171,sx171,"The diagnosis was discouraging; however, he was not overly worried.",THE DIAGNOSIS WAS DISCOURAGING HOWEVER HE WAS NOT OVERLY WORRIED,*/sample171 THE DIAGNOSIS WAS DISCOURAGING HOWEVER HE WAS NOT OVERLY WORRIED
171,172,sx172,The triumphant warrior exhibited naive heroism.,THE TRIUMPHANT WARRIOR EXHIBITED NAIVE HEROISM,*/sample172 THE TRIUMPHANT WARRIOR EXHIBITED NAIVE HEROISM
172,173,sx173,Whoever cooperates in finding Nan's cameo will be rewarded.,WHOEVER COOPERATES IN FINDING NAN'S CAMEO WILL BE REWARDED,*/sample173 WHOEVER COOPERATES IN FINDING NAN'S CAMEO WILL BE REWARDED
173,174,sx174,The haunted house was a hit due to outstanding audio-visual effects.,THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS,*/sample174 THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS
174,175,sx175,Severe myopia contributed to Ron's inferiority complex.,SEVERE MYOPIA CONTRIBUTED TO RON'S INFERIORITY COMPLEX,*/sample175 SEVERE MYOPIA CONTRIBUTED TO RON'S INFERIORITY COMPLEX
175,176,sx176,Buying a thoroughbred horse requires intuition and expertise.,BUYING A THOROUGHBRED HORSE REQUIRES INTUITION AND EXPERTISE,*/sample176 BUYING A THOROUGHBRED HORSE REQUIRES INTUITION AND EXPERTISE
176,177,sx177,Does Creole cooking use curry?,DOES CREOLE COOKING USE CURRY,*/sample177 DOES CREOLE COOKING USE CURRY
177,178,sx178,She encouraged her children to make their own Halloween costumes.,SHE ENCOURAGED HER CHILDREN TO MAKE THEIR OWN HALLOWEEN COSTUMES,*/sample178 SHE ENCOURAGED HER CHILDREN TO MAKE THEIR OWN HALLOWEEN COSTUMES
178,179,sx179,We could barely see the fjords through the snow flurries.,WE COULD BARELY SEE THE FJORDS THROUGH THE SNOW FLURRIES,*/sample179 WE COULD BARELY SEE THE FJORDS THROUGH THE SNOW FLURRIES
179,180,sx180,Almost all colleges are now coeducational.,ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL,*/sample180 ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL
180,181,sx181,Rich looked for spotted hyenas and jaguars on the safari.,RICH LOOKED FOR SPOTTED HYENAS AND JAGUARS ON THE SAFARI,*/sample181 RICH LOOKED FOR SPOTTED HYENAS AND JAGUARS ON THE SAFARI
181,182,sx182,Thick glue oozed out of the tube.,THICK GLUE OOZED OUT OF THE TUBE,*/sample182 THICK GLUE OOZED OUT OF THE TUBE
182,183,sx183,Why else would Danny allow others to go?,WHY ELSE WOULD DANNY ALLOW OTHERS TO GO,*/sample183 WHY ELSE WOULD DANNY ALLOW OTHERS TO GO
183,184,sx184,The cat's meow always hurts my ears.,THE CAT'S MEOW ALWAYS HURTS MY EARS,*/sample184 THE CAT'S MEOW ALWAYS HURTS MY EARS
184,185,sx185,Did you buy any corduroy overalls?,DID YOU BUY ANY CORDUROY OVERALLS,*/sample185 DID YOU BUY ANY CORDUROY OVERALLS
185,186,sx186,Would a tomboy often play outdoors?,WOULD A TOMBOY OFTEN PLAY OUTDOORS,*/sample186 WOULD A TOMBOY OFTEN PLAY OUTDOORS
186,187,sx187,They often go out in the evening.,THEY OFTEN GO OUT IN THE EVENING,*/sample187 THEY OFTEN GO OUT IN THE EVENING
187,188,sx188,Who authorized the unlimited expense account?,WHO AUTHORIZED THE UNLIMITED EXPENSE ACCOUNT,*/sample188 WHO AUTHORIZED THE UNLIMITED EXPENSE ACCOUNT
188,189,sx189,Destroy every file related to my audits.,DESTROY EVERY FILE RELATED TO MY AUDITS,*/sample189 DESTROY EVERY FILE RELATED TO MY AUDITS
189,190,sx190,Serve the coleslaw after I add the oil.,SERVE THE COLESLAW AFTER I ADD THE OIL,*/sample190 SERVE THE COLESLAW AFTER I ADD THE OIL
190,191,sx191,Withdraw all phony accusations at once.,WITHDRAW ALL PHONY ACCUSATIONS AT ONCE,*/sample191 WITHDRAW ALL PHONY ACCUSATIONS AT ONCE
191,192,sx192,Straw hats are out of fashion this year.,STRAW HATS ARE OUT OF FASHION THIS YEAR,*/sample192 STRAW HATS ARE OUT OF FASHION THIS YEAR
192,193,sx193,Why buy oil when you always use mine?,WHY BUY OIL WHEN YOU ALWAYS USE MINE,*/sample193 WHY BUY OIL WHEN YOU ALWAYS USE MINE
193,194,sx194,They enjoy it when I audition.,THEY ENJOY IT WHEN I AUDITION,*/sample194 THEY ENJOY IT WHEN I AUDITION
194,195,sx195,Would you allow acts of violence?,WOULD YOU ALLOW ACTS OF VIOLENCE,*/sample195 WOULD YOU ALLOW ACTS OF VIOLENCE
195,196,sx196,How do oysters make pearls?,HOW DO OYSTERS MAKE PEARLS,*/sample196 HOW DO OYSTERS MAKE PEARLS
196,197,sx197,Draw each graph on a new axis.,DRAW EACH GRAPH ON A NEW AXIS,*/sample197 DRAW EACH GRAPH ON A NEW AXIS
197,198,sx198,Norwegian sweaters are made of lamb's wool.,NORWEGIAN SWEATERS ARE MADE OF LAMB'S WOOL,*/sample198 NORWEGIAN SWEATERS ARE MADE OF LAMB'S WOOL
198,199,sx199,Young children should avoid exposure to contagious diseases.,YOUNG CHILDREN SHOULD AVOID EXPOSURE TO CONTAGIOUS DISEASES,*/sample199 YOUNG CHILDREN SHOULD AVOID EXPOSURE TO CONTAGIOUS DISEASES
199,200,sx200,Ralph controlled the stopwatch from the bleachers.,RALPH CONTROLLED THE STOPWATCH FROM THE BLEACHERS,*/sample200 RALPH CONTROLLED THE STOPWATCH FROM THE BLEACHERS
200,201,sx201,Approach your interview with statuesque composure.,APPROACH YOUR INTERVIEW WITH STATUESQUE COMPOSURE,*/sample201 APPROACH YOUR INTERVIEW WITH STATUESQUE COMPOSURE
201,202,sx202,How much allowance do you get?,HOW MUCH ALLOWANCE DO YOU GET,*/sample202 HOW MUCH ALLOWANCE DO YOU GET
202,203,sx203,The causeway ended abruptly at the shore.,THE CAUSEWAY ENDED ABRUPTLY AT THE SHORE,*/sample203 THE CAUSEWAY ENDED ABRUPTLY AT THE SHORE
203,204,sx204,Even I occasionally get the Monday blues!,EVEN I OCCASIONALLY GET THE MONDAY BLUES,*/sample204 EVEN I OCCASIONALLY GET THE MONDAY BLUES
204,205,sx205,Military personnel are expected to obey government orders.,MILITARY PERSONNEL ARE EXPECTED TO OBEY GOVERNMENT ORDERS,*/sample205 MILITARY PERSONNEL ARE EXPECTED TO OBEY GOVERNMENT ORDERS
205,206,sx206,"When peeling an orange, it is hard not to spray juice.",WHEN PEELING AN ORANGE IT IS HARD NOT TO SPRAY JUICE,*/sample206 WHEN PEELING AN ORANGE IT IS HARD NOT TO SPRAY JUICE
206,207,sx207,Do you hear the sleigh bells ringing?,DO YOU HEAR THE SLEIGH BELLS RINGING,*/sample207 DO YOU HEAR THE SLEIGH BELLS RINGING
207,208,sx208,Rob sat by the pond and sketched the stray geese.,ROB SAT BY THE POND AND SKETCHED THE STRAY GEESE,*/sample208 ROB SAT BY THE POND AND SKETCHED THE STRAY GEESE
208,209,sx209,Michael colored the bedroom wall with crayons.,MICHAEL COLORED THE BEDROOM WALL WITH CRAYONS,*/sample209 MICHAEL COLORED THE BEDROOM WALL WITH CRAYONS
209,210,sx210,Jeff's toy go-cart never worked!,JEFF'S TOY GO-CART NEVER WORKED,*/sample210 JEFF'S TOY GO-CART NEVER WORKED
210,211,sx211,Only the best players enjoy popularity.,ONLY THE BEST PLAYERS ENJOY POPULARITY,*/sample211 ONLY THE BEST PLAYERS ENJOY POPULARITY
211,212,sx212,I gave them several choices and let them set the priorities.,I GAVE THEM SEVERAL CHOICES AND LET THEM SET THE PRIORITIES,*/sample212 I GAVE THEM SEVERAL CHOICES AND LET THEM SET THE PRIORITIES
212,213,sx213,The news agency hired a great journalist.,THE NEWS AGENCY HIRED A GREAT JOURNALIST,*/sample213 THE NEWS AGENCY HIRED A GREAT JOURNALIST
213,214,sx214,The morning dew on the spider web glistened in the sun.,THE MORNING DEW ON THE SPIDER WEB GLISTENED IN THE SUN,*/sample214 THE MORNING DEW ON THE SPIDER WEB GLISTENED IN THE SUN
214,215,sx215,The sermon emphasized the need for affirmative action.,THE SERMON EMPHASIZED THE NEED FOR AFFIRMATIVE ACTION,*/sample215 THE SERMON EMPHASIZED THE NEED FOR AFFIRMATIVE ACTION
215,216,sx216,The small boy put the worm on the hook.,THE SMALL BOY PUT THE WORM ON THE HOOK,*/sample216 THE SMALL BOY PUT THE WORM ON THE HOOK
216,217,sx217,How permanent are their records?,HOW PERMANENT ARE THEIR RECORDS,*/sample217 HOW PERMANENT ARE THEIR RECORDS
217,218,sx218,Try to recall the events in chronological order.,TRY TO RECALL THE EVENTS IN CHRONOLOGICAL ORDER,*/sample218 TRY TO RECALL THE EVENTS IN CHRONOLOGICAL ORDER
218,219,sx219,Nonprofit organizations have frequent fund raisers.,NONPROFIT ORGANIZATIONS HAVE FREQUENT FUND RAISERS,*/sample219 NONPROFIT ORGANIZATIONS HAVE FREQUENT FUND RAISERS
219,220,sx220,The most recent geological survey found seismic activity.,THE MOST RECENT GEOLOGICAL SURVEY FOUND SEISMIC ACTIVITY,*/sample220 THE MOST RECENT GEOLOGICAL SURVEY FOUND SEISMIC ACTIVITY
220,221,sx221,Cory attacked the project with extra determination.,CORY ATTACKED THE PROJECT WITH EXTRA DETERMINATION,*/sample221 CORY ATTACKED THE PROJECT WITH EXTRA DETERMINATION
221,222,sx222,You always come up with pathological examples.,YOU ALWAYS COME UP WITH PATHOLOGICAL EXAMPLES,*/sample222 YOU ALWAYS COME UP WITH PATHOLOGICAL EXAMPLES
222,223,sx223,Put the butcher block table in the garage.,PUT THE BUTCHER BLOCK TABLE IN THE GARAGE,*/sample223 PUT THE BUTCHER BLOCK TABLE IN THE GARAGE
223,224,sx224,How good is your endurance?,HOW GOOD IS YOUR ENDURANCE,*/sample224 HOW GOOD IS YOUR ENDURANCE
224,225,sx225,Keep the thermometer under your tongue!,KEEP THE THERMOMETER UNDER YOUR TONGUE,*/sample225 KEEP THE THERMOMETER UNDER YOUR TONGUE
225,226,sx226,Steph could barely handle the psychological trauma.,STEPH COULD BARELY HANDLE THE PSYCHOLOGICAL TRAUMA,*/sample226 STEPH COULD BARELY HANDLE THE PSYCHOLOGICAL TRAUMA
226,227,sx227,It's healthier to cook without sugar.,IT'S HEALTHIER TO COOK WITHOUT SUGAR,*/sample227 IT'S HEALTHIER TO COOK WITHOUT SUGAR
227,228,sx228,The viewpoint overlooked the ocean.,THE VIEWPOINT OVERLOOKED THE OCEAN,*/sample228 THE VIEWPOINT OVERLOOKED THE OCEAN
228,229,sx229,Are you looking for employment?,ARE YOU LOOKING FOR EMPLOYMENT,*/sample229 ARE YOU LOOKING FOR EMPLOYMENT
229,230,sx230,"Allow leeway here, but rationalize all errors.",ALLOW LEEWAY HERE BUT RATIONALIZE ALL ERRORS,*/sample230 ALLOW LEEWAY HERE BUT RATIONALIZE ALL ERRORS
230,231,sx231,I honor my mom.,I HONOR MY MOM,*/sample231 I HONOR MY MOM
231,232,sx232,His failure to open the store by eight cost him his job.,HIS FAILURE TO OPEN THE STORE BY EIGHT COST HIM HIS JOB,*/sample232 HIS FAILURE TO OPEN THE STORE BY EIGHT COST HIM HIS JOB
232,233,sx233,Highway and freeway mean the same thing.,HIGHWAY AND FREEWAY MEAN THE SAME THING,*/sample233 HIGHWAY AND FREEWAY MEAN THE SAME THING
233,234,sx234,The paper boy bought two apples and three ices.,THE PAPER BOY BOUGHT TWO APPLES AND THREE ICES,*/sample234 THE PAPER BOY BOUGHT TWO APPLES AND THREE ICES
234,235,sx235,I itemize all accounts in my agency.,I ITEMIZE ALL ACCOUNTS IN MY AGENCY,*/sample235 I ITEMIZE ALL ACCOUNTS IN MY AGENCY
235,236,sx236,Clear pronunciation is appreciated.,CLEAR PRONUNCIATION IS APPRECIATED,*/sample236 CLEAR PRONUNCIATION IS APPRECIATED
236,237,sx237,The courier was a dwarf.,THE COURIER WAS A DWARF,*/sample237 THE COURIER WAS A DWARF
237,238,sx238,A doctor was in the ambulance with the patient.,A DOCTOR WAS IN THE AMBULANCE WITH THE PATIENT,*/sample238 A DOCTOR WAS IN THE AMBULANCE WITH THE PATIENT
238,239,sx239,Puree some fruit before preparing the skewers.,PUREE SOME FRUIT BEFORE PREPARING THE SKEWERS,*/sample239 PUREE SOME FRUIT BEFORE PREPARING THE SKEWERS
239,240,sx240,It's not easy to create illuminating examples.,IT'S NOT EASY TO CREATE ILLUMINATING EXAMPLES,*/sample240 IT'S NOT EASY TO CREATE ILLUMINATING EXAMPLES
240,241,sx241,The hallway opens into a huge chamber.,THE HALLWAY OPENS INTO A HUGE CHAMBER,*/sample241 THE HALLWAY OPENS INTO A HUGE CHAMBER
241,242,sx242,May I order a strawberry sundae after I eat dinner?,MAY I ORDER A STRAWBERRY SUNDAE AFTER I EAT DINNER,*/sample242 MAY I ORDER A STRAWBERRY SUNDAE AFTER I EAT DINNER
242,243,sx243,They all agree that the essay is barely intelligible.,THEY ALL AGREE THAT THE ESSAY IS BARELY INTELLIGIBLE,*/sample243 THEY ALL AGREE THAT THE ESSAY IS BARELY INTELLIGIBLE
243,244,sx244,Herb's birthday occurs frequently on Thanksgiving.,HERB'S BIRTHDAY OCCURS FREQUENTLY ON THANKSGIVING,*/sample244 HERB'S BIRTHDAY OCCURS FREQUENTLY ON THANKSGIVING
244,245,sx245,Does Hindu ideology honor cows?,DOES HINDU IDEOLOGY HONOR COWS,*/sample245 DOES HINDU IDEOLOGY HONOR COWS
245,246,sx246,How ancient is this subway escalator?,HOW ANCIENT IS THIS SUBWAY ESCALATOR,*/sample246 HOW ANCIENT IS THIS SUBWAY ESCALATOR
246,247,sx247,The cigarettes in the clay ashtray overflowed onto the oak table.,THE CIGARETTES IN THE CLAY ASHTRAY OVERFLOWED ONTO THE OAK TABLE,*/sample247 THE CIGARETTES IN THE CLAY ASHTRAY OVERFLOWED ONTO THE OAK TABLE
247,248,sx248,Reading in poor light gives you eyestrain.,READING IN POOR LIGHT GIVES YOU EYESTRAIN,*/sample248 READING IN POOR LIGHT GIVES YOU EYESTRAIN
248,249,sx249,I ate every oyster on Nora's plate.,I ATE EVERY OYSTER ON NORA'S PLATE,*/sample249 I ATE EVERY OYSTER ON NORA'S PLATE
249,250,sx250,The Boston Ballet overcame their funding shortage.,THE BOSTON BALLET OVERCAME THEIR FUNDING SHORTAGE,*/sample250 THE BOSTON BALLET OVERCAME THEIR FUNDING SHORTAGE
250,251,sx251,We apply auditory modeling to computer speech recognition.,WE APPLY AUDITORY MODELING TO COMPUTER SPEECH RECOGNITION,*/sample251 WE APPLY AUDITORY MODELING TO COMPUTER SPEECH RECOGNITION
251,252,sx252,The gorgeous butterfly ate a lot of nectar.,THE GORGEOUS BUTTERFLY ATE A LOT OF NECTAR,*/sample252 THE GORGEOUS BUTTERFLY ATE A LOT OF NECTAR
252,253,sx253,"By eating yogurt, you may live longer.",BY EATING YOGURT YOU MAY LIVE LONGER,*/sample253 BY EATING YOGURT YOU MAY LIVE LONGER
253,254,sx254,Do they allow atheists in church?,DO THEY ALLOW ATHEISTS IN CHURCH,*/sample254 DO THEY ALLOW ATHEISTS IN CHURCH
254,255,sx255,My ideal morning begins with hot coffee.,MY IDEAL MORNING BEGINS WITH HOT COFFEE,*/sample255 MY IDEAL MORNING BEGINS WITH HOT COFFEE
255,256,sx256,The irate actor stomped away idiotically.,THE IRATE ACTOR STOMPED AWAY IDIOTICALLY,*/sample256 THE IRATE ACTOR STOMPED AWAY IDIOTICALLY
256,257,sx257,We are open every Monday evening.,WE ARE OPEN EVERY MONDAY EVENING,*/sample257 WE ARE OPEN EVERY MONDAY EVENING
257,258,sx258,The essay undeniably reflects our view ably.,THE ESSAY UNDENIABLY REFLECTS OUR VIEW ABLY,*/sample258 THE ESSAY UNDENIABLY REFLECTS OUR VIEW ABLY
258,259,sx259,Tornados often destroy acres of farm land.,TORNADOS OFTEN DESTROY ACRES OF FARM LAND,*/sample259 TORNADOS OFTEN DESTROY ACRES OF FARM LAND
259,260,sx260,Remember to allow identical twins to enter freely.,REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY,*/sample260 REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY
260,261,sx261,Do you have the yellow ointment ready?,DO YOU HAVE THE YELLOW OINTMENT READY,*/sample261 DO YOU HAVE THE YELLOW OINTMENT READY
261,262,sx262,Can the agency overthrow alien forces?,CAN THE AGENCY OVERTHROW ALIEN FORCES,*/sample262 CAN THE AGENCY OVERTHROW ALIEN FORCES
262,263,sx263,How oily do you like your salad dressing?,HOW OILY DO YOU LIKE YOUR SALAD DRESSING,*/sample263 HOW OILY DO YOU LIKE YOUR SALAD DRESSING
263,264,sx264,We saw eight tiny icicles below our roof.,WE SAW EIGHT TINY ICICLES BELOW OUR ROOF,*/sample264 WE SAW EIGHT TINY ICICLES BELOW OUR ROOF
264,265,sx265,"The saw is broken, so chop the wood instead.",THE SAW IS BROKEN SO CHOP THE WOOD INSTEAD,*/sample265 THE SAW IS BROKEN SO CHOP THE WOOD INSTEAD
265,266,sx266,Withdraw only as much money as you need.,WITHDRAW ONLY AS MUCH MONEY AS YOU NEED,*/sample266 WITHDRAW ONLY AS MUCH MONEY AS YOU NEED
266,267,sx267,"Draw every outer line first, then fill in the interior.",DRAW EVERY OUTER LINE FIRST THEN FILL IN THE INTERIOR,*/sample267 DRAW EVERY OUTER LINE FIRST THEN FILL IN THE INTERIOR
267,268,sx268,The jaw operates by using antagonistic muscles.,THE JAW OPERATES BY USING ANTAGONISTIC MUSCLES,*/sample268 THE JAW OPERATES BY USING ANTAGONISTIC MUSCLES
268,269,sx269,Do atypical farmers grow oats?,DO ATYPICAL FARMERS GROW OATS,*/sample269 DO ATYPICAL FARMERS GROW OATS
269,270,sx270,Are holiday aprons available to us?,ARE HOLIDAY APRONS AVAILABLE TO US,*/sample270 ARE HOLIDAY APRONS AVAILABLE TO US
270,271,sx271,Be careful not to plow over the flower beds.,BE CAREFUL NOT TO PLOW OVER THE FLOWER BEDS,*/sample271 BE CAREFUL NOT TO PLOW OVER THE FLOWER BEDS
271,272,sx272,Allow each child to have an ice pop.,ALLOW EACH CHILD TO HAVE AN ICE POP,*/sample272 ALLOW EACH CHILD TO HAVE AN ICE POP
272,273,sx273,The angry boy answered but didn't look up.,THE ANGRY BOY ANSWERED BUT DIDN'T LOOK UP,*/sample273 THE ANGRY BOY ANSWERED BUT DIDN'T LOOK UP
273,274,sx274,Cliff was soothed by the luxurious massage.,CLIFF WAS SOOTHED BY THE LUXURIOUS MASSAGE,*/sample274 CLIFF WAS SOOTHED BY THE LUXURIOUS MASSAGE
274,275,sx275,Steve wore a bright red cashmere sweater.,STEVE WORE A BRIGHT RED CASHMERE SWEATER,*/sample275 STEVE WORE A BRIGHT RED CASHMERE SWEATER
275,276,sx276,John's brother repainted the garage door.,JOHN'S BROTHER REPAINTED THE GARAGE DOOR,*/sample276 JOHN'S BROTHER REPAINTED THE GARAGE DOOR
276,277,sx277,The rose corsage smelled sweet.,THE ROSE CORSAGE SMELLED SWEET,*/sample277 THE ROSE CORSAGE SMELLED SWEET
277,278,sx278,"To further his prestige, he occasionally reads the Wall Street Journal.",TO FURTHER HIS PRESTIGE HE OCCASIONALLY READS THE WALL STREET JOURNAL,*/sample278 TO FURTHER HIS PRESTIGE HE OCCASIONALLY READS THE WALL STREET JOURNAL
278,279,sx279,Alice's ability to work without supervision is noteworthy.,ALICE'S ABILITY TO WORK WITHOUT SUPERVISION IS NOTEWORTHY,*/sample279 ALICE'S ABILITY TO WORK WITHOUT SUPERVISION IS NOTEWORTHY
279,280,sx280,The oasis was a mirage.,THE OASIS WAS A MIRAGE,*/sample280 THE OASIS WAS A MIRAGE
280,281,sx281,Cory and Trish played tag with beach balls for hours.,CORY AND TRISH PLAYED TAG WITH BEACH BALLS FOR HOURS,*/sample281 CORY AND TRISH PLAYED TAG WITH BEACH BALLS FOR HOURS
281,282,sx282,The tooth fairy forgot to come when Roger's tooth fell out.,THE TOOTH FAIRY FORGOT TO COME WHEN ROGER'S TOOTH FELL OUT,*/sample282 THE TOOTH FAIRY FORGOT TO COME WHEN ROGER'S TOOTH FELL OUT
282,283,sx283,Planned parenthood organizations promote birth control.,PLANNED PARENTHOOD ORGANIZATIONS PROMOTE BIRTH CONTROL,*/sample283 PLANNED PARENTHOOD ORGANIZATIONS PROMOTE BIRTH CONTROL
283,284,sx284,Jeff thought you argued in favor of a centrifuge purchase.,JEFF THOUGHT YOU ARGUED IN FAVOR OF A CENTRIFUGE PURCHASE,*/sample284 JEFF THOUGHT YOU ARGUED IN FAVOR OF A CENTRIFUGE PURCHASE
284,285,sx285,Rich purchased several signed lithographs.,RICH PURCHASED SEVERAL SIGNED LITHOGRAPHS,*/sample285 RICH PURCHASED SEVERAL SIGNED LITHOGRAPHS
285,286,sx286,"In every major cloverleaf, traffic sometimes gets backed up.",IN EVERY MAJOR CLOVERLEAF TRAFFIC SOMETIMES GETS BACKED UP,*/sample286 IN EVERY MAJOR CLOVERLEAF TRAFFIC SOMETIMES GETS BACKED UP
286,287,sx287,"In the long run, it pays to buy quality clothing.",IN THE LONG RUN IT PAYS TO BUY QUALITY CLOTHING,*/sample287 IN THE LONG RUN IT PAYS TO BUY QUALITY CLOTHING
287,288,sx288,Brush fires are common in the dry underbrush of Nevada.,BRUSH FIRES ARE COMMON IN THE DRY UNDERBRUSH OF NEVADA,*/sample288 BRUSH FIRES ARE COMMON IN THE DRY UNDERBRUSH OF NEVADA
288,289,sx289,Weatherproof galoshes are very useful in Seattle.,WEATHERPROOF GALOSHES ARE VERY USEFUL IN SEATTLE,*/sample289 WEATHERPROOF GALOSHES ARE VERY USEFUL IN SEATTLE
289,290,sx290,This brochure is particularly informative for a prospective buyer.,THIS BROCHURE IS PARTICULARLY INFORMATIVE FOR A PROSPECTIVE BUYER,*/sample290 THIS BROCHURE IS PARTICULARLY INFORMATIVE FOR A PROSPECTIVE BUYER
